Date,Open,High,Low,Close,Adj Close,Volume
2/20/2007,17919.33008,17953.0293,17828.94922,17939.11914,17939.11914,152200
2/21/2007,17896.59961,17968.25977,17850.08984,17913.21094,17913.21094,211200
2/22/2007,18033.23047,18132.83984,18024.48047,18108.78906,18108.78906,183200
2/23/2007,18113.56055,18239.13086,18046.41992,18188.41992,18188.41992,193400
2/26/2007,18219.75,18300.39063,18145.41992,18215.34961,18215.34961,194800
2/27/2007,18239.30078,18272.67969,18073.2207,18119.91992,18119.91992,198000
2/28/2007,17843.60938,17843.60938,17382.78906,17604.11914,17604.11914,250200
3/1/2007,17542.23047,17557.41992,17261.59961,17453.50977,17453.50977,222400
3/2/2007,17351.40039,17356.44922,17160.42969,17217.92969,17217.92969,198000
3/5/2007,16992.43945,16992.43945,16532.91016,16642.25,16642.25,211000
3/6/2007,16654.84961,16882.91992,16649.09961,16844.5,16844.5,210000
3/7/2007,16982.30078,16988.00977,16731.76953,16764.61914,16764.61914,217400
3/8/2007,16729.78906,17090.31055,16685.94922,17090.31055,17090.31055,179200
3/9/2007,17224.66992,17246.21094,17100.74023,17164.03906,17164.03906,231600
3/12/2007,17312.14063,17325.44922,17206.93945,17292.39063,17292.39063,130000
3/13/2007,17268.71094,17299.48047,17153.19922,17178.83984,17178.83984,135200
3/14/2007,16936.18945,16936.18945,16628.84961,16676.89063,16676.89063,163600
3/15/2007,16803.99023,16942.31055,16760.67969,16860.39063,16860.39063,165000
3/16/2007,16779.48047,16939.42969,16643.75977,16744.15039,16744.15039,173200
3/19/2007,16713.99023,17026.46094,16713.99023,17009.55078,17009.55078,130800
3/20/2007,17155.34961,17267.74023,17146.5293,17163.19922,17163.19922,129400
3/22/2007,17383.61914,17489.18945,17379.40039,17419.19922,17419.19922,146400
3/23/2007,17519.50977,17534.76953,17407.9707,17480.60938,17480.60938,128400
3/26/2007,17517.91992,17558.03906,17425,17521.96094,17521.96094,91800
3/27/2007,17357.25977,17516.89063,17315.91016,17365.05078,17365.05078,125800
3/28/2007,17328.11914,17442.61914,17141.65039,17254.73047,17254.73047,153000
3/29/2007,17119.94922,17350.88086,17036.2207,17263.93945,17263.93945,144600
3/30/2007,17318.84961,17380.80078,17267.09961,17287.65039,17287.65039,115200
4/2/2007,17346.25,17425.74023,16999.05078,17028.41016,17028.41016,154000
4/3/2007,17154.7793,17279.73047,17095.91992,17244.05078,17244.05078,152000
4/4/2007,17400.67969,17576.50977,17394.14063,17544.08984,17544.08984,150400
4/5/2007,17507.46094,17531.30078,17430.38086,17491.41992,17491.41992,132800
4/6/2007,17502.90039,17560.30078,17422.55078,17484.7793,17484.7793,121000
4/9/2007,17606.0293,17747.82031,17606.0293,17743.75977,17743.75977,124600
4/10/2007,17631.01953,17706.91992,17613.15039,17664.68945,17664.68945,131400
4/11/2007,17699.39063,17723.39063,17618.18945,17670.07031,17670.07031,113800
4/12/2007,17601.65039,17601.65039,17455.17969,17540.41992,17540.41992,122200
4/13/2007,17629.01953,17662.89063,17327.36914,17363.94922,17363.94922,134000
4/16/2007,17507.17969,17696.86914,17507.17969,17628.30078,17628.30078,112000
4/17/2007,17750.66992,17782.08008,17452.11914,17527.44922,17527.44922,125200
4/18/2007,17557.40039,17706.84961,17538.33984,17667.33008,17667.33008,120000
4/19/2007,17530,17530,17219.73047,17371.9707,17371.9707,142600
4/20/2007,17471.56055,17502.01953,17404.61914,17452.61914,17452.61914,123400
4/23/2007,17589.60938,17656.55078,17413.64063,17455.36914,17455.36914,123600
4/24/2007,17363.83984,17500.33984,17305.7793,17451.76953,17451.76953,116000
4/25/2007,17379.51953,17379.51953,17221.55078,17236.16016,17236.16016,115200
4/26/2007,17359.83984,17496.10938,17321.05078,17429.16992,17429.16992,130000
4/27/2007,17377.03906,17542.25,17299.36914,17400.41016,17400.41016,153800
5/1/2007,17396.30078,17396.30078,17203.0293,17274.98047,17274.98047,120200
5/2/2007,17310.75,17441.09961,17227.08984,17394.91992,17394.91992,113400
5/7/2007,17564.16992,17715.99023,17558.24023,17669.83008,17669.83008,149400
5/8/2007,17651.4707,17711.66992,17587.91992,17656.83984,17656.83984,152400
5/9/2007,17616.58008,17753.33008,17616.58008,17748.11914,17748.11914,167000
5/10/2007,17793.49023,17827.48047,17712.89063,17736.96094,17736.96094,165400
5/11/2007,17616.01953,17616.01953,17455.2793,17553.7207,17553.7207,157600
5/14/2007,17682.74023,17786.65039,17673.85938,17677.93945,17677.93945,151400
5/15/2007,17577.14063,17609.55078,17491.58984,17512.98047,17512.98047,136000
5/16/2007,17487,17539.94922,17430.69922,17529,17529,141000
5/17/2007,17586.33008,17656.07031,17482.43945,17498.59961,17498.59961,117000
5/18/2007,17563.5293,17563.5293,17320.81055,17399.58008,17399.58008,114800
5/21/2007,17455.55078,17599.34961,17411.50977,17556.86914,17556.86914,118400
5/22/2007,17578.31055,17730.83984,17545.25977,17680.05078,17680.05078,127800
5/23/2007,17763.15039,17802.71094,17699.11914,17705.11914,17705.11914,130600
5/24/2007,17680.44922,17760.57031,17606.56055,17696.9707,17696.9707,116400
5/25/2007,17529.26953,17529.26953,17370.17969,17481.21094,17481.21094,117800
5/28/2007,17544.98047,17630.36914,17544.66992,17587.58984,17587.58984,94200
5/29/2007,17524.82031,17700.51953,17521.64063,17672.56055,17672.56055,108000
5/30/2007,17664.36914,17727.16992,17484.30078,17588.25977,17588.25977,125800
5/31/2007,17715.76953,17875.75,17701.57031,17875.75,17875.75,134200
6/1/2007,17949.91992,18017.73047,17943.67969,17958.88086,17958.88086,158600
6/4/2007,18067.90039,18071.80078,17973.41992,17973.41992,17973.41992,166600
6/5/2007,18019.78906,18071.7207,17950.44922,18053.81055,18053.81055,126200
6/6/2007,18001.19922,18073.05078,17991.18945,18040.92969,18040.92969,140800
6/7/2007,17879.00977,18053.38086,17866.51953,18053.38086,18053.38086,152400
6/8/2007,17904.67969,17904.67969,17696.50977,17779.08984,17779.08984,223600
6/11/2007,17899.01953,17932.09961,17801.63086,17834.48047,17834.48047,119600
6/12/2007,17845.2207,17862.99023,17735.56055,17760.91016,17760.91016,117200
6/13/2007,17631.86914,17781.41016,17591.92969,17732.76953,17732.76953,119200
6/14/2007,17834.7793,17875.01953,17815.30078,17842.28906,17842.28906,106800
6/15/2007,17945.83984,18007.99023,17930.33984,17971.49023,17971.49023,123800
6/18/2007,18127.41016,18194.25977,18112.92969,18149.51953,18149.51953,120600
6/19/2007,18131.58984,18163.60938,18103.56055,18163.60938,18163.60938,112000
6/20/2007,18173.07031,18297,18141.94922,18211.67969,18211.67969,141400
6/21/2007,18117.30078,18287.73047,18107.81055,18240.30078,18240.30078,137200
6/22/2007,18177.89063,18200.10938,18092.35938,18188.63086,18188.63086,125600
6/25/2007,18107.67969,18203.56055,18079.84961,18087.48047,18087.48047,114400
6/26/2007,18098.33008,18101.89063,18008.59961,18066.10938,18066.10938,100400
6/27/2007,17981.76953,17983.34961,17848.05078,17849.2793,17849.2793,114200
6/28/2007,17915.63086,17960.2207,17893.36914,17932.26953,17932.26953,100000
6/29/2007,18010.5,18144.63086,17973.5,18138.35938,18138.35938,106000
7/2/2007,18139.03906,18175.30078,18062.49023,18146.30078,18146.30078,108600
7/3/2007,18206.49023,18230.89063,18146.74023,18149.90039,18149.90039,104800
7/4/2007,18158.76953,18207.9707,18143.58008,18168.7207,18168.7207,80400
7/5/2007,18191.89063,18295.26953,18191.89063,18221.48047,18221.48047,88800
7/6/2007,18184.64063,18184.64063,18086.00977,18140.93945,18140.93945,100600
7/9/2007,18226.07031,18282.15039,18213.58984,18261.98047,18261.98047,101200
7/10/2007,18244.68945,18259.81055,18204.03906,18252.66992,18252.66992,118800
7/11/2007,18116.66016,18116.66016,18028.86914,18049.50977,18049.50977,120600
7/12/2007,18105.89063,18130.43945,17919.16992,17984.14063,17984.14063,125600
7/13/2007,18161.01953,18268.64063,18150.99023,18238.94922,18238.94922,126200
7/17/2007,18269.35938,18269.35938,18167.82031,18217.26953,18217.26953,123400
7/18/2007,18136.06055,18136.06055,17964.2793,18015.58008,18015.58008,136600
7/19/2007,18095.94922,18131.11914,18037.33008,18116.57031,18116.57031,127600
7/20/2007,18148.59961,18223.03906,18124.74023,18157.92969,18157.92969,176600
7/23/2007,17995.71094,18009.4707,17892.75,17963.64063,17963.64063,147200
7/24/2007,17998.75977,18018.93945,17906.10938,18002.0293,18002.0293,127400
7/25/2007,17810.9707,17881.31055,17733.96094,17858.41992,17858.41992,135200
7/26/2007,17807.23047,17861.4707,17678.98047,17702.08984,17702.08984,125200
7/27/2007,17454.58984,17454.58984,17196.16016,17283.81055,17283.81055,160400
7/30/2007,17138.5293,17289.30078,17042.66016,17289.30078,17289.30078,154000
7/31/2007,17318.00977,17318.00977,17195.28906,17248.89063,17248.89063,146400
8/1/2007,17169.19922,17169.19922,16845.53906,16870.98047,16870.98047,161400
8/2/2007,16956.33008,16999.16016,16652.80078,16984.10938,16984.10938,158000
8/3/2007,17019.80078,17102.07031,16913.26953,16979.85938,16979.85938,137200
8/6/2007,16781.14063,16951.98047,16675.39063,16914.46094,16914.46094,130600
8/7/2007,17009.63086,17049.44922,16863.46094,16921.76953,16921.76953,135000
8/8/2007,16930.39063,17085.09961,16911.67969,17029.2793,17029.2793,165000
8/9/2007,17170.35938,17274.33008,17148.94922,17170.59961,17170.59961,218800
8/10/2007,16923.21094,16948.96094,16651.71094,16764.08984,16764.08984,213200
8/13/2007,16791.80078,16948.40039,16725.55078,16800.05078,16800.05078,148200
8/14/2007,16824.63086,16855.05078,16747.93945,16844.60938,16844.60938,115400
8/15/2007,16659.07031,16667.35938,16433.30078,16475.60938,16475.60938,131400
8/16/2007,16296.40039,16296.40039,15859.45996,16148.49023,16148.49023,177000
8/17/2007,16035.37988,16062.58984,15262.09961,15273.67969,15273.67969,196800
8/20/2007,15477.25977,15940.61035,15477.25977,15732.48047,15732.48047,146600
8/21/2007,15773.86035,16101.63965,15754.50977,15901.33984,15901.33984,132600
8/22/2007,15866.59961,15957.95996,15787.95996,15900.63965,15900.63965,106400
8/23/2007,16093.82031,16333.36035,16093.82031,16316.32031,16316.32031,118200
8/24/2007,16286.00977,16329.95996,16188.08008,16248.96973,16248.96973,102800
8/27/2007,16429.00977,16504.7207,16263.9502,16301.38965,16301.38965,91600
8/28/2007,16214.08984,16343.28027,16192.83984,16287.49023,16287.49023,83800
8/29/2007,16068.09961,16068.09961,15830.28027,16012.83008,16012.83008,112000
8/30/2007,16182.08984,16269.66016,16091.28027,16153.82031,16153.82031,97200
8/31/2007,16270.99023,16569.08984,16266.23047,16569.08984,16569.08984,119400
9/3/2007,16511.07031,16575.9707,16452.74023,16524.92969,16524.92969,96600
9/4/2007,16445.73047,16511.64063,16392.21094,16420.4707,16420.4707,86600
9/5/2007,16506.10938,16553.2207,16154.90039,16158.4502,16158.4502,114200
9/6/2007,16003.87988,16257,15840.04981,16257,16257,141200
9/7/2007,16179.78027,16230.58008,16027.92969,16122.16016,16122.16016,101000
9/10/2007,15906.51953,15906.51953,15651.83008,15764.96973,15764.96973,115400
9/11/2007,15787.86035,15940.37988,15610.65039,15877.66992,15877.66992,111000
9/12/2007,15978.78027,16032.25977,15731.32031,15797.59961,15797.59961,111000
9/13/2007,15886.75977,15931.08984,15802.36035,15821.19043,15821.19043,101600
