Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,2429.719971,2454.620117,2394.659912,2423.159912,2423.159912,2435280000
2007-01-04,2423.820068,2460.510010,2413.750000,2453.429932,2453.429932,2104210000
2007-01-05,2445.070068,2445.070068,2420.590088,2434.250000,2434.250000,2060360000
2007-01-08,2435.250000,2445.629883,2421.129883,2438.199951,2438.199951,1905620000
2007-01-09,2443.260010,2449.870117,2423.560059,2443.830078,2443.830078,2144160000
2007-01-10,2434.040039,2461.340088,2427.899902,2459.330078,2459.330078,2274210000
2007-01-11,2464.889893,2489.459961,2463.389893,2484.850098,2484.850098,2436270000
2007-01-12,2481.719971,2502.820068,2481.540039,2502.820068,2502.820068,2175810000
2007-01-16,2504.560059,2508.929932,2493.919922,2497.780029,2497.780029,2139550000
2007-01-17,2487.889893,2496.929932,2475.830078,2479.419922,2479.419922,2273880000
2007-01-18,2475.330078,2475.800049,2438.110107,2443.209961,2443.209961,2456180000
2007-01-19,2437.629883,2453.790039,2435.679932,2451.310059,2451.310059,2037890000
2007-01-22,2454.500000,2454.659912,2422.919922,2431.070068,2431.070068,1900860000
2007-01-23,2428.260010,2447.030029,2425.979980,2431.409912,2431.409912,2001100000
2007-01-24,2443.010010,2466.280029,2440.820068,2466.280029,2466.280029,2202040000
2007-01-25,2469.270020,2470.510010,2430.560059,2434.239990,2434.239990,2202280000
2007-01-26,2441.100098,2443.439941,2418.610107,2435.489990,2435.489990,2067080000
2007-01-29,2434.639893,2451.830078,2431.310059,2441.090088,2441.090088,1915400000
2007-01-30,2446.659912,2451.000000,2437.419922,2448.639893,2448.639893,1769600000
2007-01-31,2443.330078,2471.199951,2433.760010,2463.929932,2463.929932,2186710000
2007-02-01,2474.080078,2481.379883,2458.709961,2468.379883,2468.379883,2170040000
2007-02-02,2474.189941,2478.409912,2466.560059,2475.879883,2475.879883,1876770000
2007-02-05,2475.030029,2481.570068,2466.179932,2470.600098,2470.600098,1875310000
2007-02-06,2475.780029,2478.239990,2454.600098,2471.489990,2471.489990,2113710000
2007-02-07,2483.729980,2495.270020,2475.570068,2490.500000,2490.500000,2198410000
2007-02-08,2484.500000,2492.409912,2477.709961,2488.669922,2488.669922,1995880000
2007-02-09,2491.649902,2496.520020,2453.439941,2459.820068,2459.820068,2186590000
2007-02-12,2460.629883,2460.629883,2444.679932,2450.379883,2450.379883,1840250000
2007-02-13,2455.250000,2464.560059,2452.169922,2459.879883,2459.879883,1821390000
2007-02-14,2468.040039,2494.510010,2468.040039,2488.379883,2488.379883,2173580000
2007-02-15,2489.840088,2498.370117,2485.510010,2497.100098,2497.100098,1949670000
2007-02-16,2491.479980,2497.919922,2482.659912,2496.310059,2496.310059,1887430000
2007-02-20,2491.750000,2514.219971,2479.919922,2513.040039,2513.040039,2165590000
2007-02-21,2503.540039,2518.419922,2500.959961,2518.419922,2518.419922,2012450000
2007-02-22,2523.360107,2531.419922,2509.060059,2524.939941,2524.939941,1850960000
2007-02-23,2522.530029,2522.840088,2506.949951,2515.100098,2515.100098,2012220000
2007-02-26,2525.040039,2525.979980,2492.540039,2504.520020,2504.520020,1912480000
2007-02-27,2468.739990,2470.919922,2402.360107,2407.860107,2407.860107,3037380000
2007-02-28,2411.889893,2431.860107,2395.350098,2416.149902,2416.149902,2620450000
2007-03-01,2377.179932,2419.149902,2359.439941,2404.209961,2404.209961,2710750000
2007-03-02,2389.860107,2401.260010,2368.000000,2368.000000,2368.000000,2352790000
2007-03-05,2368.000000,2377.840088,2340.399902,2340.679932,2340.679932,2291680000
2007-03-06,2363.149902,2390.139893,2361.270020,2385.139893,2385.139893,2121430000
2007-03-07,2382.649902,2388.780029,2371.919922,2374.639893,2374.639893,1959330000
2007-03-08,2396.550049,2402.199951,2382.000000,2387.729980,2387.729980,1989910000
2007-03-09,2403.129883,2404.800049,2375.570068,2387.550049,2387.550049,1875050000
